date,open,close,high,low,volume,code
2015-01-08,1.01,1.01,1.014,1.002,1216865.0,159938
2015-01-09,1.009,1.012,1.018,1.006,420955.0,159938
2015-01-12,1.01,1.017,1.017,0.999,337428.0,159938
2015-01-13,1.016,1.028,1.038,1.01,434897.0,159938
2015-01-14,1.028,1.03,1.038,1.022,162640.0,159938
2015-01-15,1.029,1.03,1.033,1.022,52636.0,159938
2015-01-16,1.03,1.038,1.038,1.024,132200.0,159938
2015-01-19,1.023,1.024,1.055,1.001,170014.0,159938
2015-01-20,1.028,1.055,1.06,1.027,143588.0,159938
2015-01-21,1.056,1.072,1.077,1.056,129487.0,159938
2015-01-22,1.072,1.086,1.09,1.07,123595.0,159938
2015-01-23,1.085,1.075,1.09,1.07,86167.0,159938
2015-01-26,1.075,1.092,1.092,1.073,73764.0,159938
2015-01-27,1.092,1.093,1.102,1.073,108163.0,159938
2015-01-28,1.085,1.092,1.101,1.085,68994.0,159938
2015-01-29,1.092,1.074,1.092,1.073,35216.0,159938
2015-01-30,1.085,1.066,1.085,1.066,39713.0,159938
2015-02-02,1.06,1.066,1.072,1.05,24279.0,159938
2015-02-03,1.072,1.074,1.077,1.062,23471.0,159938
2015-02-04,1.07,1.064,1.073,1.064,21980.0,159938
2015-02-05,1.063,1.056,1.07,1.056,43057.0,159938
2015-02-06,1.063,1.036,1.063,1.031,41222.0,159938
2015-02-09,1.035,1.036,1.045,1.033,22148.0,159938
2015-02-10,1.042,1.04,1.044,1.037,41953.0,159938
2015-02-11,1.048,1.053,1.056,1.04,26894.0,159938
2015-02-12,1.053,1.061,1.062,1.052,27352.0,159938
2015-02-13,1.065,1.08,1.083,1.065,57948.0,159938
2015-02-16,1.08,1.098,1.099,1.08,51817.0,159938
2015-02-17,1.098,1.102,1.106,1.092,60602.0,159938
2015-02-25,1.106,1.106,1.111,1.094,67309.0,159938
2015-02-26,1.105,1.104,1.11,1.098,31269.0,159938
2015-02-27,1.096,1.105,1.107,1.096,58536.0,159938
2015-03-02,1.115,1.119,1.119,1.075,70954.0,159938
2015-03-03,1.119,1.12,1.134,1.1,62537.0,159938
2015-03-04,1.119,1.156,1.156,1.1,79011.0,159938
2015-03-05,1.156,1.167,1.179,1.15,37707.0,159938
2015-03-06,1.167,1.139,1.167,1.131,44684.0,159938
2015-03-09,1.138,1.134,1.159,1.13,43288.0,159938
2015-03-10,1.141,1.166,1.166,1.141,47836.0,159938
2015-03-11,1.166,1.158,1.17,1.147,35853.0,159938
2015-03-12,1.169,1.155,1.169,1.12,22125.0,159938
2015-03-13,1.155,1.166,1.167,1.155,28722.0,159938
2015-03-16,1.17,1.197,1.198,1.17,27880.0,159938
2015-03-17,1.197,1.208,1.214,1.197,41176.0,159938
2015-03-18,1.215,1.22,1.223,1.192,20016.0,159938
2015-03-19,1.222,1.225,1.23,1.211,24130.0,159938
2015-03-20,1.223,1.236,1.24,1.223,19989.0,159938
2015-03-23,1.237,1.261,1.267,1.237,19664.0,159938
2015-03-24,1.261,1.275,1.28,1.23,36942.0,159938
2015-03-25,1.273,1.285,1.288,1.251,39822.0,159938
2015-03-26,1.29,1.272,1.29,1.27,28317.0,159938
2015-03-27,1.272,1.286,1.289,1.26,14414.97,159938
2015-03-30,1.286,1.304,1.316,1.286,19539.0,159938
2015-03-31,1.31,1.314,1.325,1.3,33016.0,159938
2015-04-01,1.32,1.349,1.351,1.302,28952.0,159938
2015-04-02,1.37,1.359,1.381,1.352,22133.0,159938
2015-04-03,1.359,1.379,1.389,1.347,20303.0,159938
2015-04-07,1.4,1.41,1.433,1.388,28963.0,159938
2015-04-08,1.42,1.399,1.455,1.388,28986.0,159938
2015-04-09,1.389,1.369,1.39,1.32,120217.0,159938
2015-04-10,1.35,1.408,1.409,1.336,36837.0,159938
2015-04-13,1.408,1.479,1.481,1.408,66262.0,159938
2015-04-14,1.48,1.484,1.518,1.468,62689.0,159938
2015-04-15,1.484,1.43,1.49,1.4,53233.0,159938
2015-04-16,1.4,1.44,1.459,1.386,48236.0,159938
2015-04-17,1.44,1.43,1.475,1.421,39112.0,159938
2015-04-20,1.432,1.41,1.44,1.4,56875.0,159938
2015-04-21,1.406,1.44,1.44,1.4,28720.0,159938
2015-04-22,1.44,1.48,1.483,1.44,27729.0,159938
2015-04-23,1.48,1.491,1.498,1.475,41473.0,159938
2015-04-24,1.48,1.492,1.5,1.441,31507.0,159938
2015-04-27,1.497,1.506,1.537,1.497,26417.0,159938
2015-04-28,1.54,1.465,1.54,1.458,22821.0,159938
2015-04-29,1.481,1.484,1.489,1.46,20733.0,159938
2015-04-30,1.484,1.503,1.512,1.482,24143.0,159938
2015-05-04,1.505,1.504,1.505,1.483,19660.0,159938
2015-05-05,1.504,1.462,1.504,1.456,17706.0,159938
2015-05-06,1.46,1.451,1.5,1.45,29057.0,159938
2015-05-07,1.451,1.432,1.463,1.43,36094.0,159938
2015-05-08,1.434,1.49,1.49,1.434,25352.0,159938
2015-05-11,1.523,1.59,1.598,1.495,75821.0,159938
2015-05-12,1.6,1.613,1.658,1.596,27844.0,159938
2015-05-13,1.613,1.603,1.618,1.552,18217.0,159938
2015-05-14,1.595,1.605,1.61,1.58,9083.0,159938
2015-05-15,1.601,1.617,1.649,1.555,15239.0,159938
2015-05-18,1.625,1.65,1.652,1.601,10339.0,159938
2015-05-19,1.65,1.679,1.685,1.631,7485.0,159938
2015-05-20,1.682,1.776,1.799,1.682,15195.0,159938
2015-05-21,1.756,1.891,1.891,1.718,46325.0,159938
2015-05-22,1.892,2.08,2.08,1.892,37839.0,159938
2015-05-25,2.097,2.288,2.288,2.097,40148.0,159938
2015-05-26,2.402,2.517,2.517,2.36,51680.0,159938
2015-05-27,2.59,2.769,2.769,2.5,137458.0,159938
2015-05-28,2.5,2.52,3.019,2.5,186495.0,159938
2015-05-29,2.268,2.268,2.268,2.268,39862.0,159938
2015-06-01,2.041,2.041,2.041,2.041,47563.0,159938
2015-06-02,1.925,2.11,2.23,1.925,236005.0,159938
2015-06-03,2.112,2.098,2.194,1.989,128725.0,159938
2015-06-04,2.089,2.008,2.089,1.924,124932.0,159938
2015-06-05,2.009,1.988,2.067,1.95,111479.0,159938
2015-06-08,1.988,1.935,1.988,1.918,82849.0,159938
2015-06-09,1.929,1.962,1.998,1.88,67136.0,159938
2015-06-10,1.962,1.973,1.988,1.922,51275.0,159938
2015-06-11,1.98,2.02,2.038,1.95,79941.0,159938
2015-06-12,2.025,2.004,2.025,1.995,53995.0,159938
2015-06-15,2.004,1.953,2.004,1.951,58795.0,159938
2015-06-16,1.952,1.927,1.952,1.844,63933.0,159938
2015-06-17,1.913,1.925,1.948,1.812,55292.0,159938
2015-06-18,1.915,1.85,1.915,1.85,49291.0,159938
2015-06-19,1.835,1.718,1.849,1.717,47821.0,159938
2015-06-23,1.71,1.765,1.785,1.613,50170.0,159938
2015-06-24,1.766,1.779,1.8,1.765,27106.0,159938
2015-06-25,1.783,1.753,1.798,1.73,28932.0,159938
2015-06-26,1.73,1.578,1.73,1.578,42874.0,159938
2015-06-29,1.583,1.421,1.63,1.42,63744.0,159938
2015-06-30,1.422,1.551,1.558,1.32,63071.0,159938
2015-07-01,1.558,1.525,1.69,1.5,76530.0,159938
2015-07-02,1.59,1.503,1.6,1.468,52199.0,159938
2015-07-03,1.503,1.43,1.53,1.39,35273.0,159938
2015-07-06,1.529,1.367,1.573,1.3,60750.0,159938
2015-07-07,1.346,1.23,1.346,1.23,41265.0,159938
2015-07-08,1.107,1.107,1.107,1.107,19686.0,159938
2015-07-09,0.997,1.218,1.218,0.997,78721.0,159938
2015-07-10,1.318,1.34,1.34,1.228,47369.0,159938
2015-07-13,1.466,1.474,1.474,1.38,71566.0,159938
2015-07-14,1.55,1.59,1.621,1.5,130418.0,159938
2015-07-15,1.594,1.431,1.594,1.431,98192.0,159938
2015-07-16,1.352,1.454,1.555,1.319,99194.0,159938
2015-07-17,1.431,1.548,1.568,1.431,54063.0,159938
2015-07-20,1.548,1.542,1.592,1.48,90186.0,159938
2015-07-21,1.51,1.523,1.56,1.485,49760.0,159938
2015-07-22,1.518,1.509,1.523,1.48,64649.0,159938
2015-07-23,1.511,1.557,1.559,1.482,63035.0,159938
2015-07-24,1.595,1.53,1.595,1.509,54069.0,159938
2015-07-27,1.507,1.377,1.523,1.377,53230.0,159938
2015-07-28,1.345,1.38,1.427,1.265,61082.0,159938
2015-07-29,1.383,1.444,1.444,1.35,57885.0,159938
2015-07-30,1.434,1.388,1.445,1.383,23514.0,159938
2015-07-31,1.388,1.375,1.4,1.35,21060.0,159938
2015-08-03,1.37,1.351,1.374,1.313,52312.0,159938
2015-08-04,1.348,1.425,1.425,1.348,30063.0,159938
