"","指数代码","名称","最新价","涨跌额","涨跌幅","振幅","成交量","成交额","昨收","今开","最高","最低","5分钟涨跌"
"1","000863","CS精准医","5185.28","132.38","2.62%","3.46","530004496","33223943936","5052.90","5044.68","5210.60","5035.95","0.10%"
"2","000808","医药生物","15345.42","217.20","1.44%","2.80","3147373696","93228998656","15128.22","15107.05","15489.19","15065.59","0.07%"
"3","000857","500医药","17014.64","233.39","1.39%","2.80","1905099200","42173594624","16781.25","16749.11","17206.41","16735.93","0.02%"
"4","000933","中证医药","14847.18","190.53","1.30%","2.68","2763964896","77314179072","14656.65","14630.91","14995.04","14602.17","0.03%"
"5","000814","细分医药","14849.59","183.75","1.25%","2.80","1338617200","52617053696","14665.84","14641.65","15017.98","14607.54","0.07%"
"6","000913","300医药","15545.88","185.41","1.21%","2.65","858865696","35140582656","15360.47","15338.85","15688.85","15281.22","0.04%"
"7","000991","全指医药","15065.58","178.72","1.20%","2.56","6701317376","139448111104","14886.86","14877.14","15223.97","14843.10","0.06%"
"8","000841","800医药","14454.19","168.51","1.18%","2.65","2406080704","63552557568","14285.69","14268.21","14610.90","14231.66","0.04%"
"9","000074","消费等权","10503.96","100.49","0.97%","2.37","832336096","27398550016","10403.47","10387.73","10610.47","10363.77","-0.08%"
"10","000978","医药100","19448.70","180.45","0.94%","2.62","2947610304","86944972800","19268.25","19258.43","19728.07","19222.56","0.04%"
"11","000807","食品饮料","26806.82","223.51","0.84%","3.09","951408576","44739634944","26583.31","26457.15","27211.33","26389.79","-0.09%"
"12","000815","细分食品","26231.78","210.63","0.81%","3.18","992554592","42609871360","26021.15","25884.78","26632.82","25804.74","-0.08%"
"13","000036","上证消费","15284.94","112.72","0.74%","2.27","832336096","27398550016","15172.22","15128.53","15432.15","15086.99","-0.04%"
"14","000931","中证可选","5966.70","33.91","0.57%","2.54","5922032384","79151177728","5932.79","5912.60","6036.25","5885.69","-0.03%"
"15","000035","上证可选","2996.30","16.59","0.56%","3.69","1575589904","29102322432","2979.71","2963.54","3051.62","2941.73","0.00%"
"16","000126","消费50","9891.34","55.48","0.56%","2.76","1710510608","42593956096","9835.86","9781.60","10006.62","9735.19","-0.01%"
"17","000103","沪消费品","11801.20","62.53","0.53%","2.15","1495433504","47600349696","11738.67","11698.29","11913.73","11661.45","-0.02%"
"18","000073","可选等权","2918.44","14.23","0.49%","2.59","1575589904","29102322432","2904.21","2899.41","2956.75","2881.39","-0.03%"
"19","000020","中型综指","1379.80","5.99","0.44%","2.16","6539180800","105667366912","1373.81","1367.84","1391.18","1361.52","-0.02%"
"20","000963","中证下游","7994.25","32.00","0.40%","1.74","9752541696","209482297344","7962.25","7929.56","8048.65","7909.97","-0.04%"
"21","000069","消费80","6544.17","24.21","0.37%","2.00","2382227808","66684749056","6519.96","6493.58","6602.74","6472.31","-0.02%"
"22","000912","300消费","29053.32","107.80","0.37%","2.45","719952784","35522836480","28945.52","28748.11","29389.52","28681.60","-0.10%"
"23","000958","创业成长","1714.32","5.14","0.30%","2.15","1539637296","55470762240","1709.18","1700.63","1729.01","1692.23","0.01%"
"24","000942","内地消费","12363.99","31.78","0.26%","1.89","2818083968","76979126272","12332.20","12270.26","12460.58","12227.03","-0.08%"
"25","000096","上证下游","5684.19","14.52","0.26%","1.85","7462912512","131630919680","5669.66","5644.22","5733.02","5628.00","-0.04%"
"26","000932","中证消费","22299.36","53.99","0.24%","2.12","1881451504","54223077376","22245.36","22128.27","22546.91","22074.85","-0.09%"
"27","000147","优势消费","9454.27","19.79","0.21%","1.71","1289851104","41764185088","9434.48","9408.54","9553.43","9391.96","-0.04%"
"28","000108","380消费","14882.29","29.85","0.20%","1.70","548177408","9794057472","14852.44","14849.98","15055.90","14802.92","0.08%"
"29","000107","380可选","5413.19","10.12","0.19%","2.23","976577200","17086360832","5403.07","5386.90","5481.22","5360.80","0.02%"
"30","000109","380医药","15467.62","28.69","0.19%","2.57","590379008","15008628992","15438.93","15421.65","15790.15","15393.02","-0.04%"
"31","000957","300运输","1406.02","2.55","0.18%","2.37","1279801616","10511000576","1403.47","1396.03","1420.46","1387.20","0.05%"
"32","000989","全指可选","5369.11","8.83","0.16%","1.96","13921335552","152894586880","5360.27","5344.88","5424.34","5319.51","-0.04%"
"33","000990","全指消费","19567.62","28.81","0.15%","1.86","4275196496","89416216576","19538.81","19448.86","19763.36","19400.76","-0.07%"
"34","000122","农业主题","1808.07","1.70","0.09%","1.56","1173277408","19971741696","1806.37","1801.55","1825.51","1797.25","-0.10%"
"35","000858","500信息","10343.86","7.19","0.07%","2.25","4316516864","69462294528","10336.68","10292.78","10470.50","10238.36","-0.01%"
"36","000911","300可选","6563.60","2.05","0.03%","2.02","2026641296","40267117568","6561.55","6540.28","6643.01","6510.55","-0.04%"
"37","000101","5年信用","207.78","0.01","0.01%","0.00","18070000","179698900","207.77","207.79","207.79","207.78","0.00%"
"38","000945","内地运输","1531.99","-0.03","0.00%","2.18","2486401552","16374684416","1532.02","1527.34","1550.38","1516.92","0.01%"
"39","000037","上证医药","9104.62","-0.43","0.00%","2.30","784966304","24262501888","9105.05","9086.03","9276.74","9067.33","-0.06%"
"40","000833","中高企债","212.74","0.01","0.00%","0.03","155813","151300424","212.74","212.77","212.79","212.72","0.00%"
"41","000022","沪公司债","209.28","-0.03","-0.01%","0.03","56959700","565474240","209.31","209.34","209.34","209.28","0.00%"
