,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,district,fullname,lat,lng,local,name,region
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,浦东,浦东新区鹏丰苑,31.178169,121.56168000000001,"{'lng': 121.56168, 'lat': 31.178169}",鹏丰苑,北蔡
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,浦东,浦东新区博安苑,31.18883,121.554988,"{'lng': 121.554988, 'lat': 31.18883}",博安苑,北蔡
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,浦东,浦东新区绿川新苑,31.179692,121.55371799999999,"{'lng': 121.553718, 'lat': 31.179692}",绿川新苑,北蔡
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,浦东,浦东新区金恒小区,31.191121999999996,121.543194,"{'lng': 121.543194, 'lat': 31.191122}",金恒小区,北蔡
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,浦东,浦东新区芳华路253弄,31.202584,121.5625,"{'lng': 121.5625, 'lat': 31.202584}",芳华路253弄,北蔡
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,浦东,浦东新区大华锦绣华城(一街区),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(一街区),北蔡
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,浦东,浦东新区大华锦绣华城(十九街区)(公寓),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十九街区)(公寓),北蔡
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,浦东,浦东新区由由四村,31.196907,121.53960500000001,"{'lng': 121.539605, 'lat': 31.196907}",由由四村,北蔡
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,浦东,浦东新区大华锦绣华城(十六街区)(公寓),31.182578999999997,121.537379,"{'lng': 121.537379, 'lat': 31.182579}",大华锦绣华城(十六街区)(公寓),北蔡
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,浦东,浦东新区锦博苑,31.195714000000002,121.54330800000001,"{'lng': 121.543308, 'lat': 31.195714}",锦博苑,北蔡
