小区名称,区域,已售,楼龄,电梯,地铁,面积,总价1,总价2,总价3,单价1,单价2,单价3
MAX未来,嘉定,26,5.0,1.0,0.0,48.665384615384625,126.72999999999999,153.24,122.0,2.6864999999999997,3.0008000000000004,2.9370999999999996
一品新筑苑,虹口,4,15.0,1.0,0.0,113.37249999999999,855.0,,707.75,6.6182,,6.39965
一品漫城(一期)(公寓),闵行,18,12.0,0.9444444444444444,1.0,95.22000000000001,528.6666666666666,525.25,788.0,4.980383333333333,6.597600000000001,5.9137
一品漫城(二期),闵行,7,12.0,1.0,1.0,99.60000000000001,670.0,641.6666666666666,560.0,6.0144,6.1615,6.2005
一品漫城(四期)(公寓),闵行,15,5.466666666666667,1.0,0.0,103.794,500.0,680.0,569.6666666666666,5.3961,3.6407,6.177533333333334
丁家弄小区,徐汇,3,39.0,0.0,0.0,50.586666666666666,464.0,,419.0,7.824299999999999,,12.3236
丁香大楼,长宁,5,28.0,1.0,0.0,77.496,640.3333333333334,,665.0,8.342366666666667,,8.37865
万业新阶,普陀,24,6.0,1.0,0.0,55.38500000000001,327.73333333333335,380.0,319.0,5.814325,7.254875,5.7492
万业梦立方,松江,11,6.0,1.0,1.0,78.84454545454545,,321.0,301.6666666666667,,4.0877,3.8120333333333334
万业紫辰苑,宝山,75,8.384615384615385,1.0,0.0,95.89079999999996,463.5,443.26666666666665,324.05555555555554,3.7545333333333333,4.191446666666666,3.8168388888888902
万临家园,宝山,9,14.0,0.8888888888888888,1.0,118.10444444444445,479.0,722.3333333333334,519.0,4.2763,5.450833333333333,4.9828
万乐城(商业类),闵行,73,5.0,1.0,0.0,29.29876712328767,95.64545454545454,81.73529411764706,83.80952380952381,2.794309090909091,3.052270588235294,2.8430190476190473
万佳苑,杨浦,8,17.625,0.625,1.0,111.3625,430.0,861.0,,5.9123,6.4846,
万兆家园(一期),闵行,25,20.32,0.0,1.0,80.60840000000002,421.0,391.0,390.0625,4.7310799999999995,5.034533333333333,5.128987499999999
万兆家园(二期)(公寓),闵行,5,18.0,0.6,1.0,106.65799999999999,,495.0,679.5,,5.6391,5.95975
万兆家园(五期),闵行,4,16.0,0.25,1.0,104.3175,559.0,,597.5,5.58925,,5.5097000000000005
万华小区,长宁,13,29.23076923076923,1.0,1.0,54.103846153846135,320.6666666666667,372.5,510.0,6.827733333333334,7.35,6.841200000000001
万博家园,闵行,24,10.0,1.0,0.0,88.32041666666667,326.35,390.9,331.0,3.6641624999999998,4.55078,4.006385714285714
万博欣园,闵行,15,6.0,1.0,0.0,95.98733333333334,363.8,430.6666666666667,408.5,3.92636,4.652233333333334,3.9966999999999997
万宇阳光苑,松江,56,11.0,1.0,0.0,78.50571428571428,221.80000000000004,242.2,239.29285714285714,2.6523416666666666,3.33521,2.8999928571428577
万寿新村(青浦),青浦,110,24.40740740740741,0.0,0.0,62.529818181818186,149.66,188.6,197.11739130434782,2.3852450000000003,3.2994100000000004,3.0437478260869564
万寿路57弄,青浦,3,23.0,0.0,0.0,66.69,200.0,200.0,,3.2145,3.2129,
万峰小区,虹口,3,23.0,0.0,0.0,91.83333333333333,285.0,,374.0,2.375,,4.8115000000000006
万峰梦湖苑,虹口,10,16.8,0.6,0.0,107.127,,620.0,692.625,,6.7983,6.780625000000001
万康家园,虹口,18,25.0,0.0,0.0,49.288888888888884,276.0,272.25,186.0,4.924566666666666,5.4377375,4.5821000000000005
万春小区,静安,22,33.86363636363637,0.09090909090909091,1.0,43.08545454545455,308.0,411.0,480.25,6.7693,10.419166666666667,11.295191666666668
万景园,普陀,6,16.8,0.3333333333333333,1.0,105.96166666666666,556.0,,470.0,5.4833,,6.3678
万泰花园,闵行,43,23.186046511627907,0.0,0.0,67.1525581395349,309.7111111111111,326.375,354.5,4.5073888888888884,5.072116666666667,5.113733333333333
万源城E1,闵行,12,13.0,1.0,1.0,69.99749999999999,393.3333333333333,460.0,426.8666666666666,6.030933333333333,7.1098,6.645066666666668
万源城尚郡,闵行,63,8.0,1.0,1.0,87.33507936507937,676.1666666666666,695.8333333333334,703.9466666666667,7.6597388888888895,8.208833333333333,8.002633333333332
万源城朗郡,闵行,39,11.0,1.0,1.0,152.09358974358975,1000.6666666666666,1109.625,1284.7142857142858,6.752073333333334,7.2459875,7.893971428571429
万源城逸郡,闵行,16,12.0,1.0,1.0,133.59312500000001,1006.0,956.0,1077.6666666666667,7.3173666666666675,7.7175571428571415,7.64105
万源新城,闵行,12,11.25,0.5833333333333334,1.0,81.91749999999999,354.6666666666667,562.3333333333334,,5.4142,6.2608999999999995,
万源杰座,浦东,5,16.0,1.0,0.0,136.628,1007.5,1080.0,1007.5,6.99855,7.7359,7.8667
万登花苑,杨浦,4,23.0,0.0,1.0,118.17000000000002,,660.0,639.0,,7.4451,7.2082
万科七宝国际,闵行,13,6.0,1.0,1.0,46.347692307692306,228.25,244.5,230.5,5.305625,5.332479999999999,4.7458
万科优诗美地,闵行,17,20.176470588235293,0.5882352941176471,1.0,108.95941176470589,528.1666666666666,,574.4285714285714,5.0803,,5.154957142857143
万科假日风景(公寓),闵行,97,16.02061855670103,0.44329896907216493,0.0,110.70123711340202,,712.75,670.4857142857143,,6.37995,5.997597142857142
万科公园大道,闵行,17,5.111111111111111,0.9411764705882353,0.0,98.38941176470587,,485.0,409.6,,4.833,4.50378
万科华尔兹,徐汇,4,19.0,0.75,1.0,103.5625,702.0,,915.0,7.2936,,9.433
万科南桥传奇,奉贤,4,,1.0,0.0,94.715,,337.0,370.3333333333333,,4.012,3.7391000000000005
万科四季花城,宝山,75,13.146666666666667,0.7466666666666667,0.0,95.68333333333331,396.0,448.90909090909093,371.2083333333333,4.002772727272728,4.423654545454546,3.933395833333334
万科城,闵行,89,5.0120481927710845,1.0,0.0,91.47000000000001,324.75,392.66,386.70454545454544,3.5593166666666662,4.335456000000001,4.232713636363636
万科城市花园,闵行,141,25.424460431654676,0.6808510638297872,1.0,83.16886524822695,395.04400000000004,392.25555555555553,352.31612903225806,4.167756000000001,5.139781481481482,4.915900000000001
万科城花新园,闵行,44,8.886363636363637,0.6818181818181818,1.0,108.17409090909088,630.3076923076923,791.6666666666666,696.9285714285714,5.856876923076924,6.584700000000001,6.268742857142856
万科尚景苑(公寓),青浦,8,8.0,1.0,0.0,79.37625,222.5,279.5,255.33333333333334,2.80255,3.51925,3.2151666666666667
万科新里程,浦东,35,13.028571428571428,0.9714285714285714,0.0,102.69171428571427,761.4117647058823,761.6,798.1875,7.3463705882352945,8.05152,7.715237500000001
万科早城(一期),闵行,29,7.0,0.9655172413793104,0.0,77.8155172413793,122.17777777777776,233.84545454545457,131.0,1.8490666666666666,2.285963636363636,1.7386
万科早城(二期),闵行,12,6.0,0.0,0.0,60.9125,137.5,169.0,132.0,2.15485,2.51505,2.1904333333333335
万科时一区,闵行,19,5.882352941176471,0.9473684210526315,0.0,85.59578947368422,558.6,689.3333333333334,692.3333333333334,6.835299999999999,7.736066666666667,7.899366666666666
万科晶源,青浦,4,10.0,0.0,1.0,110.115,354.0,615.1,,3.5402,4.2823,
万科朗润园,闵行,33,14.0,0.3333333333333333,1.0,107.52242424242421,575.4166666666666,689.5,616.1625,5.167833333333333,6.090699999999999,5.918137500000001
万科梦想派,松江,34,5.5,1.0,0.0,87.18441176470586,340.54545454545456,367.5,366.7,3.850236363636363,4.2277000000000005,4.133139999999999
万科海上传奇,浦东,27,5.769230769230769,1.0,1.0,96.91962962962964,606.6666666666666,753.3333333333334,643.4545454545455,6.56,7.159966666666667,7.109390909090909
万科清林径,浦东,12,8.0,1.0,0.0,93.07,,332.5,329.0,,3.6907500000000004,3.61008
万科燕南园,闵行,5,12.8,0.0,0.0,198.772,1130.0,1071.5,1350.0,5.5863,5.60075,6.4836
万科琥珀臻园,宝山,23,9.0,0.0,0.0,172.18434782608696,636.3333333333334,746.5,620.75,3.547333333333333,4.2730250000000005,3.5706249999999997
万科琥珀郡园,宝山,62,8.935483870967742,0.46774193548387094,1.0,108.95370967741935,403.3333333333333,449.6666666666667,438.3166666666666,3.7849555555555563,4.369233333333334,4.264929166666666
万科白马花园(公寓),松江,60,12.133333333333333,0.05,0.0,82.8223333333333,309.55263157894734,370.9,307.1666666666667,3.604268421052631,4.051,3.7377333333333334
万科白马花园(别墅),松江,15,11.866666666666667,0.0,0.0,195.958,767.1666666666666,970.0,919.32,3.9762833333333343,4.7921,4.75394
万科第五园,浦东,7,9.0,0.0,1.0,264.4842857142857,1141.6666666666667,,1170.0,4.224266666666667,,4.3557500000000005
