"","指数代码","名称","最新价","涨跌额","涨跌幅","振幅","成交量","成交额","昨收","今开","最高","最低","5分钟涨跌"
"1","000833","中高企债","206.01","0.60","0.29%","0.10","18203","16834182","205.41","205.92","206.01","205.81","0.00%"
"2","000012","国债指数","178.59","0.44","0.25%","0.14","33746200","331565552","178.15","178.35","178.60","178.35","0.01%"
"3","000013","企债指数","240.00","0.34","0.14%","0.01","12093100","116913734","239.67","240.01","240.01","240.00","0.00%"
"4","000022","沪公司债","203.97","0.27","0.13%","0.01","8409900","81622516","203.71","203.98","203.98","203.97","0.00%"
"5","000923","公司债指","204.44","0.27","0.13%","0.01","112021","108703833","204.16","204.45","204.45","204.43","0.00%"
"6","000101","5年信用","202.15","0.24","0.12%","0.00","526500","5291981","201.91","202.15","202.15","202.15","0.00%"
"7","000061","沪企债30","158.92","0.13","0.08%","0.02","1038100","9987400","158.79","158.94","158.94","158.91","0.00%"
"8","000116","信用100","188.80","0.14","0.07%","0.06","3477900","31571227","188.66","188.84","188.86","188.74","0.00%"
"9","000869","HK银行","2929.29","-2.42","-0.08%","1.60","483648400","3025693216","2931.71","2910.67","2957.51","2910.67","-0.01%"
"10","000867","港中小企","2805.36","-16.29","-0.58%","0.98","516779296","3541661344","2821.65","2808.80","2817.00","2789.43","-0.03%"
"11","000075","医药等权","8246.60","-151.07","-1.80%","2.59","751813904","15539013632","8397.67","8193.19","8405.07","8187.70","-0.34%"
"12","000978","医药100","13553.96","-250.50","-1.81%","2.97","1814167008","38573120000","13804.46","13397.43","13806.90","13397.43","-0.30%"
"13","000121","医药主题","9902.85","-191.19","-1.89%","2.57","933539904","17943644672","10094.04","9859.29","10065.74","9806.23","-0.29%"
"14","000857","500医药","11429.21","-248.39","-2.13%","2.94","939558896","14304644352","11677.60","11328.01","11671.26","11328.01","-0.43%"
"15","000109","380医药","11057.60","-269.24","-2.38%","2.47","476763904","8319865600","11326.84","11028.84","11295.30","11015.06","-0.32%"
"16","000037","上证医药","6532.91","-197.50","-2.93%","3.44","751813904","15539013632","6730.41","6427.05","6658.54","6427.05","-0.31%"
"17","000170","50AH优选","5152.07","-159.01","-2.99%","2.43","1803752208","30690065664","5311.08","5086.16","5212.12","5083.14","-0.13%"
"18","000139","上证转债","310.99","-10.17","-3.17%","2.21","214424800","2466077920","321.16","307.55","311.20","304.10","0.13%"
"19","000991","全指医药","10124.93","-342.04","-3.27%","3.45","3798968304","58378255360","10466.97","9948.79","10309.81","9948.79","-0.28%"
"20","000841","800医药","9964.25","-360.79","-3.49%","3.43","1361658304","25858183936","10325.04","9822.86","10177.15","9822.86","-0.34%"
